c_id,y_id,i_id,measure
3,30,3,5.9919900894165
3,31,3,6.88430023193359
3,32,3,6.77093982696533
3,33,3,7.70425987243652
3,34,3,6.68001985549927
3,35,3,6.32445001602173
3,38,3,5.51196002960205
3,39,3,5.54994010925293
3,40,3,5.44201
3,41,3,4.96958
3,42,3,5.01073
3,45,3,4.78215
3,47,3,4.78036
3,48,3,4.63826
3,49,3,4.85264
3,50,3,5.36993
3,51,3,5.27444
3,0,0,40461721692.64677
3,1,0,40934952063.94684
3,2,0,42227447631.9159
3,3,0,45029988561.21245
3,4,0,49377522896.70303
3,5,0,54515179580.71483
3,6,0,61088384036.65145
3,7,0,65668655501.12544
3,8,0,71829810519.89554
3,9,0,79148411661.69023
3,10,0,87896095224.4234
3,11,0,99271961477.5203
3,12,0,113082820992.0194
3,13,0,131321859214.0786
3,14,0,160408697648.26175
3,15,0,173834029787.65237
3,16,0,206575564401.6227
3,17,0,211612156934.64975
3,18,0,218632867449.81152
3,19,0,243072102185.41916
3,20,0,273853826377.00992
3,21,0,306214863624.98956
3,22,0,313506525087.1362
3,23,0,340547711781.88904
3,24,0,355372558103.62134
3,25,0,364756499450.7507
3,26,0,377437927311.9827
3,27,0,431316742081.44794
3,28,0,507354351182.254
3,29,0,565055743243.2433
3,30,0,593929550908.4675
3,31,0,610328183643.1876
3,32,0,592387689252.9163
3,33,0,577170761956.4375
3,34,0,578139279437.6099
3,35,0,604031623433.4014
3,36,0,628546387972.1306
3,37,0,652823920265.7808
3,38,0,631813279406.8082
3,39,0,676084000807.7001
3,40,0,742295468318.6317
3,41,0,736379777892.562
3,42,0,757950678646.5304
3,43,0,892382413817.7146
3,44,0,1023196771714.0662
3,45,0,1169357979864.664
3,46,0,1315415197461.213
3,47,0,1464977190205.7537
3,48,0,1549131208997.1885
3,49,0,1371153004986.4404
3,50,0,1613542812589.3896
3,51,0,1789140665202.839
3,52,0,1823966686523.6335
3,53,0,1842018420853.0952
3,54,0,1801480123070.8162
3,55,0,1552899925233.7092
3,56,0,1526705529135.3203
3,57,0,1646867220617.4656
3,58,0,1713341704877.0117
3,40,1,8.27570121
3,41,1,8.6552998
3,42,1,8.88823837
3,43,1,9.04280641
3,44,1,9.09724312
3,45,1,9.06438659
3,46,1,9.20660398
3,47,1,9.29805095
3,48,1,9.46493194
3,49,1,10.5739279
3,50,1,10.55578315
3,51,1,10.23029303
3,52,1,10.24045785
3,53,1,10.13275665
3,54,1,9.96972621
3,55,1,10.37650812
3,56,1,10.53465477
4,14,3,3.75120997428894
4,15,3,3.59472990036011
4,18,3,3.07045006752014
4,19,3,3.48236989974976
4,20,3,4.21999979019165
4,21,3,4.91429996490479
4,27,3,2.8232901096344
4,30,3,2.25015997886658
4,33,3,2.38371992111206
4,34,3,2.51182007789612
4,35,3,2.56469988822937
4,36,3,2.79625010490417
4,37,3,3.01245999336243
4,38,3,3.34015011787415
4,39,3,3.72921991348267
4,40,3,3.77583
4,42,3,4.08121
4,43,3,3.96346
4,44,3,3.53839
4,45,3,3.26283
4,46,3,3.02153
4,47,3,3.21379
4,48,3,3.79243
4,49,3,4.23065
4,50,3,4.16209
4,51,3,4.04519
4,53,3,4.52943
4,54,3,4.73018
4,55,3,4.8737
4,56,3,5.35064
4,57,3,5.41582
4,0,0,4109999999.9999995
4,1,0,4609727272.727272
4,2,0,5416272727.272728
4,3,0,5668187500.0
4,4,0,5982347826.086956
4,5,0,6026593750.0
4,6,0,7072641025.641026
4,7,0,7013196078.431372
4,8,0,7167086956.521738
4,9,0,8377093023.2558155
4,10,0,9126309734.513277
4,11,0,10884114754.09836
4,12,0,11853817307.692308
4,13,0,16836261173.184359
4,14,0,16210404183.535763
4,15,0,7622217352.342158
4,16,0,10341925249.042147
4,17,0,13962893421.541319
4,18,0,15989933708.149084
4,19,0,21803696985.234898
4,20,0,29036709871.79488
4,21,0,34509878043.589745
4,22,0,25325893205.657047
